Navajo Sentence,Detected Language,Confidence,Translation to English,Back Translation
Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.,is,0.7586613893508911,Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.,Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.
Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ łeh; binááʼ éí łitso łeh; bidaaʼ éí łibá.,is,1,Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ łeh; binááʼ éí łitso łeh; bidaaʼ éí łibá.,Bitsʼíís éí diłhił dóó łibáago naashchʼąąʼ łeh; binááʼ éí łitso łeh; bidaaʼ éí łibá.
Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ.,is,1,Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ.,Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ.
Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ łeh.,is,0.988347053527832,Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ łeh.,Bitsʼíís éí diłhił dóó łibáago ndaashchʼąąʼ łeh.
Bitsʼíís éí diłhił dóó łibáago noodǫ́ǫ́z; bibid dóó bitłʼaaʼ éí dinilgai.,is,1,Bitsʼíís éí diłhił dóó łibáago noodǫ́ǫ́z; bibid dóó bitłʼaaʼ éí dinilgai.,Bitsʼíís éí diłhił dóó łibáago noodǫ́ǫ́z; bibid dóó bitłʼaaʼ éí dinilgai.
Bitsʼíís éí diłhił dóó łibá; bitsiitʼáád éí diniltso; bidaaʼ éí diłhiłgo łitsxo.,is,1,Bitsʼíís éí diłhił dóó łibá; bitsiitʼáád éí diniltso; bidaaʼ éí diłhiłgo łitsxo.,Bitsʼíís éí diłhił dóó łibá; bitsiitʼáád éí diniltso; bidaaʼ éí diłhiłgo łitsxo.
Bitsʼíís éí diłhił dóó łigaigo ndaashchʼąąʼ łeh.,is,0.9820463061332703,Bitsʼíís éí diłhił dóó łigaigo ndaashchʼąąʼ łeh.,Bitsʼíís éí diłhił dóó łigaigo ndaashchʼąąʼ łeh.
Bitsʼíís éí diłhił dóó łigaigo yistłʼin.,is,1,Bitsʼíís éí diłhił dóó łigaigo yistłʼin.,Bitsʼíís éí diłhił dóó łigaigo yistłʼin.
Bitsʼíís éí diłhił dóó łigaigo yistłʼin; bitłʼaaʼ éí dinilgai; bijáád doo hólǫ́ǫ da; bitseeʼ éí nineez; binááʼ éí dinilgai.,is,0.9642654657363892,Bitsʼíís éí diłhił dóó łigaigo yistłʼin; bitłʼaaʼ éí dinilgai; bijáád doo hólǫ́ǫ da; bitseeʼ éí nineez; binááʼ éí dinilgai.,Bitsʼíís éí diłhił dóó łigaigo yistłʼin; bitłʼaaʼ éí dinilgai; bijáád doo hólǫ́ǫ da; bitseeʼ éí nineez; binááʼ éí dinilgai.
Bitsʼíís éí diłhił dóó łiltsogo noodǫ́ǫ́z; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.,is,0.9869619011878967,Bitsʼíís éí diłhił dóó łiltsogo noodǫ́ǫ́z; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó łiltsogo noodǫ́ǫ́z; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó łitsogo łikizh; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.,is,0.945980429649353,Bitsʼíís éí diłhił dóó łitsogo łikizh; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó łitsogo łikizh; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí diłhił dóó diniltsogo naashchʼąąʼ.,is,0.9524539113044739,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí diłhił dóó diniltsogo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí diłhił dóó diniltsogo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí łitso dóó yishłizhgo łikizh.,is,0.9032894968986511,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí łitso dóó yishłizhgo łikizh.,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitsʼaʼ éí łitso dóó yishłizhgo łikizh.
Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.,Bitsʼíís éí diłhił dóó łitsogo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.
Bitsʼíís éí diłhił dóó łitsogo noodǫ́ǫ́z.,is,0.9602606892585754,Bitsʼíís éí diłhił dóó łitsogo noodǫ́ǫ́z.,Bitsʼíís éí diłhił dóó łitsogo noodǫ́ǫ́z.
Bitsʼíís éí diłhił dóó łitsogo yistłʼin; bitéél éí łitso dóó łizhingo łikizh; bidaaʼ éí łizhin.,is,0.9566541910171509,Bitsʼíís éí diłhił dóó łitsogo yistłʼin; bitéél éí łitso dóó łizhingo łikizh; bidaaʼ éí łizhin.,Bitsʼíís éí diłhił dóó łitsogo yistłʼin; bitéél éí łitso dóó łizhingo łikizh; bidaaʼ éí łizhin.
Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád dóó bizééʼ éí halchííʼ; bidaaʼ éí łizhin.,is,1,Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád dóó bizééʼ éí halchííʼ; bidaaʼ éí łizhin.,Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád dóó bizééʼ éí halchííʼ; bidaaʼ éí łizhin.
Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád éí halchííʼ; bidaaʼ éí łizhin.,is,1,Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád éí halchííʼ; bidaaʼ éí łizhin.,Bitsʼíís éí diłhił dóó łizhin; bitéél dóó bitłʼaaʼ éí łigai; bitsiitʼáád éí halchííʼ; bidaaʼ éí łizhin.
Bitsʼíís éí diłhił dóó łizhingo łikizh dóó tʼóó bíyó dichʼíízh; bitéél éí dinilbá; binááʼ éí ntsaa.,ln,0.6364098191261292,Bitsʼíís éí diłhił doó łizhingo łikizh doó tʼóó bíyó dichʼíízh; bitterness is dinilbá; dance&#39; is the only thing.,Bitsʼíís éí diłhił doó łizhingo łikizh doó tʼóó bíyó dichʼíízh; bololo ezali dinilbá; kobina&#39; ezali eloko kaka moko.
Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiitsʼiin éí łichxííʼ.,is,0.9879668354988098,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiitsʼiin éí łichxííʼ.,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiitsʼiin éí łichxííʼ.
Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiiyah dóó bibid dóó bizééʼ éí łitso.,is,0.9472774863243103,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiiyah dóó bibid dóó bizééʼ éí łitso.,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ; bitsiiyah dóó bibid dóó bizééʼ éí łitso.
Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ dóó łitsogo yistłʼin.,is,0.955429196357727,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ dóó łitsogo yistłʼin.,Bitsʼíís éí diłhił dóó łizhingo naashchʼąąʼ dóó łitsogo yistłʼin.
Bitsʼíís éí diłhił dóó tʼóó bíyó dichʼíízh; binááʼ éí chʼilgo dootłʼizh; bitéél éí diniltso; binááʼ éí ntsaa.,is,0.8558045029640198,Bitsʼíís éí diłhił dóó tʼóó bíyó dichʼíízh; binááʼ éí chʼilgo dootłʼizh; bitéél éí diniltso; binááʼ éí ntsaa.,Bitsʼíís éí diłhił dóó tʼóó bíyó dichʼíízh; binááʼ éí chʼilgo dootłʼizh; bitéél éí diniltso; binááʼ éí ntsaa.
Bitsʼíís éí diłhił dóó tʼóó bíyó disxǫs; binááʼ éí łichííʼ; bidaaʼ éí łizhin.,is,1,Bitsʼíís éí diłhił dóó tʼóó bíyó disxǫs; binááʼ éí łichííʼ; bidaaʼ éí łizhin.,Bitsʼíís éí diłhił dóó tʼóó bíyó disxǫs; binááʼ éí łichííʼ; bidaaʼ éí łizhin.
Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh; bitsiiʼ dóó bitéél éí łizhin; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh; bitsiiʼ dóó bitéél éí łizhin; bidaaʼ éí diłhił.,Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh; bitsiiʼ dóó bitéél éí łizhin; bidaaʼ éí diłhił.
Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh (bitsiiyah éí chʼilgo dootłʼizh łeh); bitseeʼ éí łigaigo noodǫ́ǫ́z; bidaaʼ éí łichííʼ.,is,0.988347053527832,Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh (bitsiiyah éí chʼilgo dootłʼizh łeh); bitseeʼ éí łigaigo noodǫ́ǫ́z; bidaaʼ éí łichííʼ.,Bitsʼíís éí diłhił dóó tsédídéehgo dootłʼizh (bitsiiyah éí chʼilgo dootłʼizh łeh); bitseeʼ éí łigaigo noodǫ́ǫ́z; bidaaʼ éí łichííʼ.
Bitsʼíís éí diłhił dóó yishtłizh dóó dinilbáago naashchʼąąʼ; bizábąąh éí dinilgai.,is,1,Bitsʼíís éí diłhił dóó yishtłizh dóó dinilbáago naashchʼąąʼ; bizábąąh éí dinilgai.,Bitsʼíís éí diłhił dóó yishtłizh dóó dinilbáago naashchʼąąʼ; bizábąąh éí dinilgai.
Bitsʼíís éí diłhił dóó yishtłizh dóó łibáago ndaashchʼąąʼ łeh.,is,1,Bitsʼíís éí diłhił dóó yishtłizh dóó łibáago ndaashchʼąąʼ łeh.,Bitsʼíís éí diłhił dóó yishtłizh dóó łibáago ndaashchʼąąʼ łeh.
Bitsʼíís éí diłhił dóó yishtłizhgo łibá; bitsiiyah dóó bitééléí halbá; binákʼee éí łigai; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo łibá; bitsiiyah dóó bitééléí halbá; binákʼee éí łigai; bidaaʼ éí diłhił.,Bitsʼíís éí diłhił dóó yishtłizhgo łibá; bitsiiyah dóó bitééléí halbá; binákʼee éí łigai; bidaaʼ éí diłhił.
Bitsʼíís éí diłhił dóó yishtłizhgo łitso; bitsiiʼ éí łichííʼ; binákʼee éí halzhin; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo łitso; bitsiiʼ éí łichííʼ; binákʼee éí halzhin; bidaaʼ éí diłhił.,Bitsʼíís éí diłhił dóó yishtłizhgo łitso; bitsiiʼ éí łichííʼ; binákʼee éí halzhin; bidaaʼ éí diłhił.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bibid dóó bitłʼaaʼ éí dinilgai.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bibid dóó bitłʼaaʼ éí dinilgai.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bibid dóó bitłʼaaʼ éí dinilgai.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bijáád éí danineez.,is,0.8758383989334106,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bijáád éí danineez.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bijáád éí danineez.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí diłhiłgo łitso.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí diłhiłgo łitso.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí diłhiłgo łitso.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí ntsaa.,is,0.5310352444648743,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí ntsaa.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binááʼ éí ntsaa.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binághah éí dah dzítso; bitéél éí dinilgai; binááʼ éí ntsaa.,is,0.8210129141807556,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binághah éí dah dzítso; bitéél éí dinilgai; binááʼ éí ntsaa.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; binághah éí dah dzítso; bitéél éí dinilgai; binááʼ éí ntsaa.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitłʼaaʼ éí łitso; bitsʼaʼ éí łibá dóó yishłizhgo naashchʼąąʼ.,is,0.9866496324539185,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitłʼaaʼ éí łitso; bitsʼaʼ éí łibá dóó yishłizhgo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitłʼaaʼ éí łitso; bitsʼaʼ éí łibá dóó yishłizhgo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dibéłchíʼí dóó łizhingo naashchʼąąʼ.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dibéłchíʼí dóó łizhingo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dibéłchíʼí dóó łizhingo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí diłhiłgo łibá dóó yishłizhgo naashchʼąąʼ.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí diłhiłgo łibá dóó yishłizhgo naashchʼąąʼ.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí diłhiłgo łibá dóó yishłizhgo naashchʼąąʼ.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dinilzhin dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó nteel.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dinilzhin dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó nteel.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí dinilzhin dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó nteel.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ dóó dah daalzhin.,is,0.859275758266449,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ dóó dah daalzhin.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitsʼaʼ éí łibá dóó yishtłizhgo naashchʼąąʼ dóó dah daalzhin.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bitseeʼ éí nineez; binááʼ éí diłhił.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bizééʼ dóó bibid éí diniltso.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bizééʼ dóó bibid éí diniltso.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ; bizééʼ dóó bibid éí diniltso.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó dichʼíízh; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó dichʼíízh; binááʼ éí diłhił.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó dichʼíízh; binááʼ éí diłhił.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.,is,0.7591719031333923,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ dóó tʼóó bíyó dichʼíízh; bitéél éí dinilgai; binááʼ éí ntsaa.
"Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí ditą́, bitʼaʼ bigháhootʼį́.",is,1,"Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí ditą́, bitʼaʼ bigháhootʼį́.","Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí ditą́, bitʼaʼ bigháhootʼį́."
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí nineez.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí nineez.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bideeʼ éí nineez.
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bitsʼaʼ éí łibá; bikʼos éí diniltso.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bitsʼaʼ éí łibá; bikʼos éí diniltso.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; bitsʼaʼ éí łibá; bikʼos éí diniltso.
"Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí bitéél daalgai, łaʼ éí daalkizh; bidaaʼ éí doo nineez da.",is,0.3782503306865692,"Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí bitéél daalgai, łaʼ éí daalkizh; bidaaʼ éí doo nineez da.","Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí bitéél daalgai, łaʼ éí daalkizh; bidaaʼ éí doo nineez da."
Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí daalchííʼ dóó dadootłʼizh; bitʼaʼ éí bigháhootʼį́į łeh.,is,0.8298389911651611,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí daalchííʼ dóó dadootłʼizh; bitʼaʼ éí bigháhootʼį́į łeh.,Bitsʼíís éí diłhił dóó yishtłizhgo naashchʼąąʼ łeh; łaʼ éí daalchííʼ dóó dadootłʼizh; bitʼaʼ éí bigháhootʼį́į łeh.
Bitsʼíís éí diłhił dóó yishtłizhgo noodǫ́ǫ́z.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo noodǫ́ǫ́z.,Bitsʼíís éí diłhił dóó yishtłizhgo noodǫ́ǫ́z.
Bitsʼíís éí diłhił dóó yishtłizhgo yistłʼin; bitʼaʼ dóó binághah éí łibá; bitéél éí diniltsxo; bidaaʼ éí dinilchííʼ dóó kʼíjíjin.,is,1,Bitsʼíís éí diłhił dóó yishtłizhgo yistłʼin; bitʼaʼ dóó binághah éí łibá; bitéél éí diniltsxo; bidaaʼ éí dinilchíííʼ dóó kʼíjíjin.,Bitsʼíís éí diłhił dóó yishtłizhgo yistłʼin; bitʼaʼ dóó binághah éí łibá; bitéél éí diniltsxo; bidaaʼ éí dinilchíííʼ dóó kʼíjíjin.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ dóó bikeeʼ éí łizhin.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ dóó bikeeʼ éí łizhin.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ dóó bikeeʼ éí łizhin.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ éí łibá dóó łizhin.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ éí łibá dóó łizhin.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bidaaʼ éí łibá dóó łizhin.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bijáád éí ádaałtsʼíísí; bitseeʼ éí nineez; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bijáád éí ádaałtsʼíísí; bitseeʼ éí nineez; binááʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bijáád éí ádaałtsʼíísí; bitseeʼ éí nineez; binááʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; binááʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; binááʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí dinizhin; bikeeʼ éí łitso; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí dinizhin; bikeeʼ éí łitso; binááʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí dinizhin; bikeeʼ éí łitso; binááʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí halzhin; binááʼ éí diłhiłgo łitso.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí halzhin; binááʼ éí diłhiłgo łitso.,Bitsʼíís éí diłhiłgo dibéłchíʼí; binákʼee éí halzhin; binááʼ éí diłhiłgo łitso.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí dinilzhin; bizééʼ éí łigai; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí dinilzhin; bizééʼ éí łigai; bidaaʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí dinilzhin; bizééʼ éí łigai; bidaaʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí łizhingo noodǫ́ǫ́z; bitéél éí yishtłizhgo naashchʼąąʼ; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí łizhingo noodǫ́ǫ́z; bitéél éí yishtłizhgo naashchʼąąʼ; bidaaʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitʼaʼ dóó bitseeʼ éí łizhingo noodǫ́ǫ́z; bitéél éí yishtłizhgo naashchʼąąʼ; bidaaʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bibid éí łitsxo; bitseeʼ éí nineez; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bibid éí łitsxo; bitseeʼ éí nineez; binááʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bibid éí łitsxo; bitseeʼ éí nineez; binááʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bitłʼaaʼ éí łizhin dóó łigaigo noodǫ́ǫ́z; bidaaʼ éí łitso; bijáád éí nineez.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bitłʼaaʼ éí łizhin dóó łigaigo noodǫ́ǫ́z; bidaaʼ éí łitso; bijáád éí nineez.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél dóó bitłʼaaʼ éí łizhin dóó łigaigo noodǫ́ǫ́z; bidaaʼ éí łitso; bijáád éí nineez.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél éí dinilgai; binááʼ éí ntsaa.,is,0.8584936857223511,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél éí dinilgai; binááʼ éí ntsaa.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitéél éí dinilgai; binááʼ éí ntsaa.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí dinilgai; bizééʼ éí łigai; bidaaʼ éí łizhin.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí dinilgai; bizééʼ éí łigai; bidaaʼ éí łizhin.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí dinilgai; bizééʼ éí łigai; bidaaʼ éí łizhin.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí łigai; bikeeʼ éí ayóo áłtsʼíísí.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí łigai; bikeeʼ éí ayóo áłtsʼíísí.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitłʼaaʼ éí łigai; bikeeʼ éí ayóo áłtsʼíísí.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí łichííʼ; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí łichííʼ; bidaaʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí łichííʼ; bidaaʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí nineez; binááʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí nineez; binááʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitseeʼ éí nineez; binááʼ éí diłhił.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiitsʼiin éí ntsaa; bitseeʼ éí nineez; binááʼ éí áłtsʼíísí.,is,0.8957111835479736,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiitsʼiin éí ntsaa; bitseeʼ éí nineez; binááʼ éí áłtsʼíísí.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiitsʼiin éí ntsaa; bitseeʼ éí nineez; binááʼ éí áłtsʼíísí.
Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiiyah dóó binághah éí diłhiłgo halbá; bidaaʼ éí diłhił.,is,1,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiiyah dóó binághah éí diłhiłgo halbá; bidaaʼ éí diłhił.,Bitsʼíís éí diłhiłgo dibéłchíʼí; bitsiiyah dóó binághah éí diłhiłgo halbá; bidaaʼ éí diłhił.
